Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
1983-84,NBA,Lakers,54,28,.659,1,3.32,103.7,2.3,110.9,3.3,107.3,-0.3,Lost Finals,P. Riley (54-28),M. Johnson (10.2)
1982-83,NBA,Lakers,58,24,.707,1,5.06,103.8,0.7,110.5,5.8,105.2,0.5,Lost Finals,P. Riley (58-24),M. Johnson (12.5)
1981-82,NBA,Lakers,57,25,.695,1,4.37,103.1,2.2,110.2,3.3,105.5,-1.4,Won Finals,P. Westhead (7-4) P. Riley (50-21),M. Johnson (12.9)
1980-81,NBA,Lakers,54,28,.659,2,3.27,102.7,0.9,107.6,2.1,103.9,-1.6,Lost W. Conf. 1st Rnd.,P. Westhead (54-28),K. Abdul-Jabbar (14.3)
1979-80,NBA,Lakers,60,22,.732,1,5.40,104.1,1.0,109.5,4.2,103.9,-1.4,Won Finals,J. McKinney (10-4) P. Westhead (50-18),K. Abdul-Jabbar (14.8)
1978-79,NBA,Lakers,47,35,.573,3,2.95,105.9,0.1,106.1,2.3,103.2,-0.6,Lost W. Conf. Semis,J. West (47-35),K. Abdul-Jabbar (14.4)
1977-78,NBA,Lakers,45,37,.549,4,2.59,106.1,-0.6,103.3,2.4,100.8,-0.1,Lost W. Conf. 1st Rnd.,J. West (45-37),K. Abdul-Jabbar (12.1)
1976-77,NBA,Lakers,53,29,.646,1,2.64,104.7,-1.8,101.4,1.9,98.9,-0.6,Lost W. Conf. Finals,J. West (53-29),K. Abdul-Jabbar (17.8)
1975-76,NBA,Lakers,40,42,.488,4,0.18,108.0,2.5,98.9,0.6,98.8,0.5,,B. Sharman (40-42),K. Abdul-Jabbar (17.0)
1974-75,NBA,Lakers,30,52,.366,5,-3.94,106.4,1.9,96.1,-1.6,99.9,2.2,,B. Sharman (30-52),H. Hairston (7.0)
1973-74,NBA,Lakers,47,35,.573,1,0.85,111.7,3.9,97.4,-0.3,96.6,-1.1,Lost W. Conf. Semis,B. Sharman (47-35),H. Hairston (9.3)
1972-73,NBA,Lakers,60,22,.732,1,8.16,112.0,1.3,99.4,2.6,91.8,-5.0,Lost Finals,B. Sharman (60-22),W. Chamberlain (18.2)
1971-72,NBA,Lakers,69,13,.841,1,11.65,116.9,4.9,103.1,5.2,92.6,-5.3,Won Finals,B. Sharman (69-13),W. Chamberlain (15.8)
1970-71,NBA,Lakers,48,34,.585,1,3.27,115.7,0.6,98.8,1.6,96.1,-1.1,Lost W. Conf. Finals,J. Mullaney (48-34),J. West (12.8)
1969-70,NBA,Lakers,46,36,.561,2,1.76,113.9,-3.2,99.1,0.1,97.4,-1.6,Lost Finals,J. Mullaney (46-36),J. West (15.2)
1968-69,NBA,Lakers,55,27,.671,1,3.84,112.6,-4.3,98.5,3.0,94.9,-0.6,Lost Finals,B. Van Breda Kolff (55-27),W. Chamberlain (14.7)
1967-68,NBA,Lakers,52,30,.634,2,4.99,118.1,-1.7,101.7,4.9,97.0,0.2,Lost Finals,B. Van Breda Kolff (52-30),J. West (9.6)
